names,links,category,filename
Iris Nampeyo,https://en.wikipedia.org/wiki/Iris_Nampeyo,List_of_20th-century_women_artists,./HTML/Women/Iris_Nampeyo.html
Clara Chipman Newton,https://en.wikipedia.org/wiki/Clara_Chipman_Newton,List_of_20th-century_women_artists,./HTML/Women/Clara_Chipman_Newton.html
Clara Weaver Parrish,https://en.wikipedia.org/wiki/Clara_Weaver_Parrish,List_of_20th-century_women_artists,./HTML/Women/Clara_Weaver_Parrish.html
Lilla Cabot Perry,https://en.wikipedia.org/wiki/Lilla_Cabot_Perry,List_of_20th-century_women_artists,./HTML/Women/Lilla_Cabot_Perry.html
Edith Mitchill Prellwitz,https://en.wikipedia.org/wiki/Edith_Mitchill_Prellwitz,List_of_20th-century_women_artists,./HTML/Women/Edith_Mitchill_Prellwitz.html
Vinnie Ream,https://en.wikipedia.org/wiki/Vinnie_Ream,List_of_20th-century_women_artists,./HTML/Women/Vinnie_Ream.html
Adelaïde Alsop Robineau,https://en.wikipedia.org/wiki/Adela%C3%AFde_Alsop_Robineau,List_of_20th-century_women_artists,./HTML/Women/Adela%C3%AFde_Alsop_Robineau.html
Helene Schjerfbeck,https://en.wikipedia.org/wiki/Helene_Schjerfbeck,List_of_20th-century_women_artists,./HTML/Women/Helene_Schjerfbeck.html
Janet Scudder,https://en.wikipedia.org/wiki/Janet_Scudder,List_of_20th-century_women_artists,./HTML/Women/Janet_Scudder.html
Jessie Willcox Smith,https://en.wikipedia.org/wiki/Jessie_Willcox_Smith,List_of_20th-century_women_artists,./HTML/Women/Jessie_Willcox_Smith.html
Marianne Stokes,https://en.wikipedia.org/wiki/Marianne_Stokes,List_of_20th-century_women_artists,./HTML/Women/Marianne_Stokes.html
Josefine Swoboda,https://en.wikipedia.org/wiki/Josefine_Swoboda,List_of_20th-century_women_artists,./HTML/Women/Josefine_Swoboda.html
Annie Swynnerton,https://en.wikipedia.org/wiki/Annie_Swynnerton,List_of_20th-century_women_artists,./HTML/Women/Annie_Swynnerton.html
Ellen Thesleff,https://en.wikipedia.org/wiki/Ellen_Thesleff,List_of_20th-century_women_artists,./HTML/Women/Ellen_Thesleff.html
Suzanne Valadon,https://en.wikipedia.org/wiki/Suzanne_Valadon,List_of_20th-century_women_artists,./HTML/Women/Suzanne_Valadon.html
Candace Wheeler,https://en.wikipedia.org/wiki/Candace_Wheeler,List_of_20th-century_women_artists,./HTML/Women/Candace_Wheeler.html
Anna Lillian Winegar,https://en.wikipedia.org/wiki/Anna_Lillian_Winegar,List_of_20th-century_women_artists,./HTML/Women/Anna_Lillian_Winegar.html
Gertrude Partington Albright,https://en.wikipedia.org/wiki/Gertrude_Partington_Albright,List_of_20th-century_women_artists,./HTML/Women/Gertrude_Partington_Albright.html
Lizzy Ansingh,https://en.wikipedia.org/wiki/Lizzy_Ansingh,List_of_20th-century_women_artists,./HTML/Women/Lizzy_Ansingh.html
Vanessa Bell,https://en.wikipedia.org/wiki/Vanessa_Bell,List_of_20th-century_women_artists,./HTML/Women/Vanessa_Bell.html
Romaine Brooks,https://en.wikipedia.org/wiki/Romaine_Brooks,List_of_20th-century_women_artists,./HTML/Women/Romaine_Brooks.html
Edith Woodman Burroughs,https://en.wikipedia.org/wiki/Edith_Woodman_Burroughs,List_of_20th-century_women_artists,./HTML/Women/Edith_Woodman_Burroughs.html
Pauline Powell Burns,https://en.wikipedia.org/wiki/Pauline_Powell_Burns,List_of_20th-century_women_artists,./HTML/Women/Pauline_Powell_Burns.html
Ethel Carrick,https://en.wikipedia.org/wiki/Ethel_Carrick,List_of_20th-century_women_artists,./HTML/Women/Ethel_Carrick.html
Isabel Codrington,https://en.wikipedia.org/wiki/Isabel_Codrington,List_of_20th-century_women_artists,./HTML/Women/Isabel_Codrington.html
Bessie Davidson,https://en.wikipedia.org/wiki/Bessie_Davidson,List_of_20th-century_women_artists,./HTML/Women/Bessie_Davidson.html
