names,links,category,profile_path
Julie Bindel,https://en.wikipedia.org/wiki/Julie_Bindel,no file,./Women_Profiles/Julie_Bindel
Amy Johnson,https://en.wikipedia.org/wiki/Amy_Johnson,no file,./Women_Profiles/Amy_Johnson
Sojourner Truth,https://en.wikipedia.org/wiki/Sojourner_Truth,no file,./Women_Profiles/Sojourner_Truth
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,no file,./Women_Profiles/J._K._Rowling
Audre Lorde,https://en.wikipedia.org/wiki/Audre_Lorde,no file,./Women_Profiles/Audre_Lorde
Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey,no file,./Women_Profiles/Oprah_Winfrey
Lisa Robinson,https://en.wikipedia.org/wiki/Lisa_Robinson,no file,./Women_Profiles/Lisa_Robinson
Cathy Freeman,https://en.wikipedia.org/wiki/Cathy_Freeman,no file,./Women_Profiles/Cathy_Freeman
Grace Lee Boggs,https://en.wikipedia.org/wiki/Grace_Lee_Boggs,no file,./Women_Profiles/Grace_Lee_Boggs
Mary Warnock,"https://en.wikipedia.org/wiki/Mary_Warnock,_Baroness_Warnock",no file,./Women_Profiles/Mary_Warnock
Mae Jemison,https://en.wikipedia.org/wiki/Mae_Jemison,no file,./Women_Profiles/Mae_Jemison
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor,no file,./Women_Profiles/Sandra_Day_O'Connor
Susan Faludi,https://en.wikipedia.org/wiki/Susan_Faludi,no file,./Women_Profiles/Susan_Faludi
Caitlin Moran,https://en.wikipedia.org/wiki/Caitlin_Moran,no file,./Women_Profiles/Caitlin_Moran
Diana Vreeland,https://en.wikipedia.org/wiki/Diana_Vreeland,no file,./Women_Profiles/Diana_Vreeland
Katy Perry,https://en.wikipedia.org/wiki/Katy_Perry,no file,./Women_Profiles/Katy_Perry
Jacinda Ardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,no file,./Women_Profiles/Jacinda_Ardern
Hawa Abdi,https://en.wikipedia.org/wiki/Hawa_Abdi,no file,./Women_Profiles/Hawa_Abdi
George Sand,https://en.wikipedia.org/wiki/George_Sand,no file,./Women_Profiles/George_Sand
Grandma Moses,https://en.wikipedia.org/wiki/Grandma_Moses,no file,./Women_Profiles/Grandma_Moses
Kate Bush,https://en.wikipedia.org/wiki/Kate_Bush,no file,./Women_Profiles/Kate_Bush
Maria Montessori,https://en.wikipedia.org/wiki/Maria_Montessori,no file,./Women_Profiles/Maria_Montessori
Kacey Ainsworth,https://en.wikipedia.org/wiki/Kacey_Ainsworth,no file,./Women_Profiles/Kacey_Ainsworth
Bettie Page,https://en.wikipedia.org/wiki/Bettie_Page,no file,./Women_Profiles/Bettie_Page
Mary Kay Ash,https://en.wikipedia.org/wiki/Mary_Kay_Ash,no file,./Women_Profiles/Mary_Kay_Ash
B. Smith,https://en.wikipedia.org/wiki/B._Smith,no file,./Women_Profiles/B._Smith
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,no file,./Women_Profiles/Marie_Curie
Eleanor Rathbone,https://en.wikipedia.org/wiki/Eleanor_Rathbone,no file,./Women_Profiles/Eleanor_Rathbone
Indra Nooyi,https://en.wikipedia.org/wiki/Indra_Nooyi,no file,./Women_Profiles/Indra_Nooyi
Andrea Dworkin,https://en.wikipedia.org/wiki/Andrea_Dworkin,no file,./Women_Profiles/Andrea_Dworkin
Mary Quant,https://en.wikipedia.org/wiki/Mary_Quant,no file,./Women_Profiles/Mary_Quant
Lilian Wyles,https://en.wikipedia.org/wiki/Lilian_Wyles,no file,./Women_Profiles/Lilian_Wyles
Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy,no file,./Women_Profiles/Amy_Cuddy
Sinéad O'Connor,https://en.wikipedia.org/wiki/Sin%C3%A9ad_O%27Connor,no file,./Women_Profiles/Sinéad_O'Connor
Rhonda Hansome,https://en.wikipedia.org/wiki/Rhonda_Hansome,no file,./Women_Profiles/Rhonda_Hansome
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,no file,./Women_Profiles/Amy_Schumer
Edna Gardner Whyte,https://en.wikipedia.org/wiki/Edna_Gardner_Whyte,no file,./Women_Profiles/Edna_Gardner_Whyte
Fiona Wood,https://en.wikipedia.org/wiki/Fiona_Wood,no file,./Women_Profiles/Fiona_Wood
Camila Batmanghelidjh,https://en.wikipedia.org/wiki/Camila_Batmanghelidjh,no file,./Women_Profiles/Camila_Batmanghelidjh
Emma Stone,https://en.wikipedia.org/wiki/Emma_Stone,no file,./Women_Profiles/Emma_Stone
Ishita Gupta,https://en.wikipedia.org/wiki/Ishita_Dutta,no file,./Women_Profiles/Ishita_Gupta
Martina Navratilova,https://en.wikipedia.org/wiki/Martina_Navratilova,no file,./Women_Profiles/Martina_Navratilova
Dolly Parton,https://en.wikipedia.org/wiki/Dolly_Parton,no file,./Women_Profiles/Dolly_Parton
Frida Kahlo,https://en.wikipedia.org/wiki/Frida_Kahlo,no file,./Women_Profiles/Frida_Kahlo
Cilla Black,https://en.wikipedia.org/wiki/Cilla_Black,no file,./Women_Profiles/Cilla_Black
Karren Brady,https://en.wikipedia.org/wiki/Karren_Brady,no file,./Women_Profiles/Karren_Brady
Ingrid Bergman,https://en.wikipedia.org/wiki/Ingrid_Bergman,no file,./Women_Profiles/Ingrid_Bergman
Tanni Grey-Thompson,https://en.wikipedia.org/wiki/Tanni_Grey-Thompson,no file,./Women_Profiles/Tanni_Grey-Thompson
Miles Franklin,https://en.wikipedia.org/wiki/Miles_Franklin,no file,./Women_Profiles/Miles_Franklin
Josephine Butler,https://en.wikipedia.org/wiki/Josephine_Butler,no file,./Women_Profiles/Josephine_Butler
Wangari Maathai,https://en.wikipedia.org/wiki/Wangari_Maathai,no file,./Women_Profiles/Wangari_Maathai
Rosalind Franklin,https://en.wikipedia.org/wiki/Rosalind_Franklin,no file,./Women_Profiles/Rosalind_Franklin
Heather Moore,https://en.wikipedia.org/wiki/Heather_Moore,no file,./Women_Profiles/Heather_Moore
Charlotte Brontë,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB,no file,./Women_Profiles/Charlotte_Brontë
Lori Greiner,https://en.wikipedia.org/wiki/Lori_Greiner,no file,./Women_Profiles/Lori_Greiner
Anne Sweeney,https://en.wikipedia.org/wiki/Anne_Sweeney,no file,./Women_Profiles/Anne_Sweeney
Amelia Earhart,https://en.wikipedia.org/wiki/Amelia_Earhart,no file,./Women_Profiles/Amelia_Earhart
Rebecca Adlington,https://en.wikipedia.org/wiki/Rebecca_Adlington,no file,./Women_Profiles/Rebecca_Adlington
Gilda Radner,https://en.wikipedia.org/wiki/Gilda_Radner,no file,./Women_Profiles/Gilda_Radner
Madonna,https://en.wikipedia.org/wiki/Madonna_%28entertainer%29,no file,./Women_Profiles/Madonna
Tina Fey,https://en.wikipedia.org/wiki/Tina_Fey,no file,./Women_Profiles/Tina_Fey
Gloria Steinem,https://en.wikipedia.org/wiki/Gloria_Steinem,no file,./Women_Profiles/Gloria_Steinem
Martha Lane Fox,https://en.wikipedia.org/wiki/Martha_Lane_Fox,no file,./Women_Profiles/Martha_Lane_Fox
Sheri L. Dew,https://en.wikipedia.org/wiki/Sheri_L._Dew,no file,./Women_Profiles/Sheri_L._Dew
Linda Bellos,https://en.wikipedia.org/wiki/Linda_Bellos,no file,./Women_Profiles/Linda_Bellos
Margaret Atwood,https://en.wikipedia.org/wiki/Margaret_Atwood,no file,./Women_Profiles/Margaret_Atwood
Bell Hooks,https://en.wikipedia.org/wiki/Bell_hooks,no file,./Women_Profiles/Bell_Hooks
Alison Bechdel,https://en.wikipedia.org/wiki/Alison_Bechdel,no file,./Women_Profiles/Alison_Bechdel
Barbara Corcoran,https://en.wikipedia.org/wiki/Barbara_Corcoran,no file,./Women_Profiles/Barbara_Corcoran
Brené Brown,https://en.wikipedia.org/wiki/Bren%C3%A9_Brown,no file,./Women_Profiles/Brené_Brown
Malalai Joya,https://en.wikipedia.org/wiki/Malalai_Joya,no file,./Women_Profiles/Malalai_Joya
Ellen MacArthur,https://en.wikipedia.org/wiki/Ellen_MacArthur,no file,./Women_Profiles/Ellen_MacArthur
Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington,no file,./Women_Profiles/Kerry_Washington
Audrey Hepburn,https://en.wikipedia.org/wiki/Audrey_Hepburn,no file,./Women_Profiles/Audrey_Hepburn
Naomi Parker Fraley,https://en.wikipedia.org/wiki/Naomi_Parker_Fraley,no file,./Women_Profiles/Naomi_Parker_Fraley
Dilma Rousseff,https://en.wikipedia.org/wiki/Dilma_Rousseff,no file,./Women_Profiles/Dilma_Rousseff
Emma Goldman,https://en.wikipedia.org/wiki/Emma_Goldman,no file,./Women_Profiles/Emma_Goldman
Aung San Suu Kyi,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi,no file,./Women_Profiles/Aung_San_Suu_Kyi
Eve Ensler,https://en.wikipedia.org/wiki/Eve_Ensler,no file,./Women_Profiles/Eve_Ensler
Turia Pitt,https://en.wikipedia.org/wiki/Turia_Pitt,no file,./Women_Profiles/Turia_Pitt
Dianne Feinstein,https://en.wikipedia.org/wiki/Dianne_Feinstein,no file,./Women_Profiles/Dianne_Feinstein
Margaret Sanger,https://en.wikipedia.org/wiki/Margaret_Sanger,no file,./Women_Profiles/Margaret_Sanger
Helena Morrissey,https://en.wikipedia.org/wiki/Helena_Morrissey,no file,./Women_Profiles/Helena_Morrissey
Fatema Mernissi,https://en.wikipedia.org/wiki/Fatema_Mernissi,no file,./Women_Profiles/Fatema_Mernissi
Gretchen Rubin,https://en.wikipedia.org/wiki/Gretchen_Rubin,no file,./Women_Profiles/Gretchen_Rubin
Laverne Cox,https://en.wikipedia.org/wiki/Laverne_Cox,no file,./Women_Profiles/Laverne_Cox
Elizabeth Cady Stanton,https://en.wikipedia.org/wiki/Elizabeth_Cady_Stanton,no file,./Women_Profiles/Elizabeth_Cady_Stanton
Lubna Hussein,https://en.wikipedia.org/wiki/Lubna_al-Hussein,no file,./Women_Profiles/Lubna_Hussein
Greta Garbo,https://en.wikipedia.org/wiki/Greta_Garbo,no file,./Women_Profiles/Greta_Garbo
Betty Friedan,https://en.wikipedia.org/wiki/Betty_Friedan,no file,./Women_Profiles/Betty_Friedan
Susan Wicklund,https://en.wikipedia.org/wiki/Susan_Wicklund,no file,./Women_Profiles/Susan_Wicklund
Jenette Stanley,https://en.wikipedia.org/wiki/Jenette_H._Bolles,no file,./Women_Profiles/Jenette_Stanley
Sylvia Plath,https://en.wikipedia.org/wiki/Sylvia_Plath,no file,./Women_Profiles/Sylvia_Plath
Helen Clark,https://en.wikipedia.org/wiki/Helen_Clark,no file,./Women_Profiles/Helen_Clark
Fanny Durack,https://en.wikipedia.org/wiki/Fanny_Durack,no file,./Women_Profiles/Fanny_Durack
Ayn Rand,https://en.wikipedia.org/wiki/Ayn_Rand,no file,./Women_Profiles/Ayn_Rand
Alicia Vikander,https://en.wikipedia.org/wiki/Alicia_Vikander,no file,./Women_Profiles/Alicia_Vikander
Jane Addams,https://en.wikipedia.org/wiki/Jane_Addams,no file,./Women_Profiles/Jane_Addams
Sonia Sotomayor,https://en.wikipedia.org/wiki/Sonia_Sotomayor,no file,./Women_Profiles/Sonia_Sotomayor
Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,no file,./Women_Profiles/Anna_Wintour
Debora Spar,https://en.wikipedia.org/wiki/Debora_Spar,no file,./Women_Profiles/Debora_Spar
Edith Summerskill,https://en.wikipedia.org/wiki/Edith_Summerskill,no file,./Women_Profiles/Edith_Summerskill
Serena Williams,https://en.wikipedia.org/wiki/Serena_Williams,no file,./Women_Profiles/Serena_Williams
Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,no file,./Women_Profiles/Anne_Frank
Jayaben Desai,https://en.wikipedia.org/wiki/Jayaben_Desai,no file,./Women_Profiles/Jayaben_Desai
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,no file,./Women_Profiles/Elizabeth_Blackburn
Gail Laughlin,https://en.wikipedia.org/wiki/Gail_Laughlin,no file,./Women_Profiles/Gail_Laughlin
Doris Lessing,https://en.wikipedia.org/wiki/Doris_Lessing,no file,./Women_Profiles/Doris_Lessing
Lisa Ling,https://en.wikipedia.org/wiki/Lisa_Ling,no file,./Women_Profiles/Lisa_Ling
Barbra Streisand,https://en.wikipedia.org/wiki/Barbra_Streisand,no file,./Women_Profiles/Barbra_Streisand
